"","Model","MAE","MAPE","RMSE"
"121","Linear Model",246.35,0.143779578188869,352.48
"225","Linear w/ lag",37.17,0.0212423362643776,94.18
"330","ARIMA",110.11,0.0654640151314047,225.1
"430","Stacked Model",39.41,0.023838062680521,52.64
"521","Stacked Model w/ Polynomial",41.19,0.0247516453979043,55.14
"122","Linear Model",245.8,0.144436232172329,337.55
"226","Linear w/ lag",43.84,0.0253661215614246,86.45
"331","ARIMA",113.29,0.0680982542748948,219.55
"431","Stacked Model",38.47,0.0237925566933583,49.4
"522","Stacked Model w/ Polynomial",40.32,0.0248410304095428,52.49
"123","Linear Model",252.21,0.14545312048953,354.18
"227","Linear w/ lag",38.82,0.0224456971072455,76.6
"332","ARIMA",113.22,0.0653896591414348,228.28
"432","Stacked Model",53.24,0.0318647602556997,64.84
"523","Stacked Model w/ Polynomial",53.98,0.0321668396233144,66.27
"124","Linear Model",245.25,0.143733309507647,363.42
"228","Linear w/ lag",43.38,0.0247685067704206,115.25
"333","ARIMA",111.58,0.0655521001111772,232.21
"433","Stacked Model",37.89,0.0231198034670771,47.95
"524","Stacked Model w/ Polynomial",40.13,0.0242968430739471,50.85
"125","Linear Model",243.16,0.142710662715633,338.2
"229","Linear w/ lag",42.28,0.0244231374871316,105.63
"334","ARIMA",99.93,0.0595768826971587,212.85
"434","Stacked Model",39.15,0.0228331392148143,51.79
"525","Stacked Model w/ Polynomial",40.77,0.023717183567483,54.31
"126","Linear Model",253.69,0.150926683516636,355.31
"230","Linear w/ lag",44.51,0.024445888513472,121.63
"335","ARIMA",106.52,0.0616711146053995,222.01
"435","Stacked Model",37.09,0.0216403461499143,47.4
"526","Stacked Model w/ Polynomial",39.18,0.0227920478326058,50.85
"127","Linear Model",241.98,0.139377065665459,350.47
"231","Linear w/ lag",47.86,0.0264892284362353,118.79
"336","ARIMA",112.77,0.0642338223443428,225.35
"436","Stacked Model",44.94,0.0261350844009841,56.51
"527","Stacked Model w/ Polynomial",46.38,0.0268353396684802,58.57
"128","Linear Model",249.25,0.149418983733966,344
"232","Linear w/ lag",42.69,0.0238985114293381,105.66
"337","ARIMA",104.94,0.0612701761371225,222.98
"437","Stacked Model",40.96,0.0254872297732802,54.31
